t,Potential,Kinetic,Total,Virial
100,13366,310296,323662,1.33152e+06
200,13385.9,310276,323662,1.33203e+06
300,13417.5,310244,323662,1.33285e+06
400,13460.9,310201,323662,1.33397e+06
500,13516.1,310146,323662,1.33541e+06
600,13583.1,310080,323663,1.33715e+06
700,13661.8,310001,323662,1.3392e+06
800,13752.4,309910,323662,1.34156e+06
900,13854.9,309807,323663,1.34423e+06
1000,13969.1,309694,323664,1.34722e+06
1100,14095.3,309567,323663,1.35052e+06
1200,14233.3,309429,323662,1.35413e+06
1300,14383.4,309279,323662,1.35805e+06
1400,14545.6,309116,323663,1.36229e+06
1500,14719.6,308942,323662,1.36684e+06
1600,14905.9,308756,323662,1.37171e+06
1700,15104.4,308558,323662,1.3769e+06
1800,15315.1,308347,323662,1.38241e+06
1900,15538.2,308124,323662,1.38824e+06
2000,15773.5,307888,323662,1.39439e+06
2100,16021.2,307641,323662,1.40086e+06
2200,16281.3,307382,323662,1.40766e+06
2300,16553.8,307109,323663,1.41478e+06
2400,16838.8,306823,323663,1.42223e+06
2500,17136.4,306526,323663,1.43e+06
2600,17446.6,306216,323663,1.43811e+06
2700,17769.6,305893,323663,1.44654e+06
2800,18105.2,305558,323664,1.4553e+06
2900,18453.5,305210,323664,1.4644e+06
3000,18814.3,304849,323664,1.47382e+06
3100,19188.1,304476,323663,1.48357e+06
3200,19574.6,304088,323663,1.49366e+06
3300,19974,303689,323664,1.50407e+06
3400,20386.4,303277,323663,1.51483e+06
3500,20812,302851,323663,1.52592e+06
3600,21250.8,302412,323663,1.53736e+06
3700,21702.6,301960,323663,1.54913e+06
3800,22167.4,301496,323663,1.56124e+06
3900,22645.5,301018,323663,1.57369e+06
4000,23136.8,300526,323663,1.58648e+06
4100,23641.3,300021,323663,1.59961e+06
4200,24158.9,299504,323663,1.61307e+06
4300,24689.5,298973,323663,1.62688e+06
4400,25233.5,298429,323662,1.64102e+06
4500,25790.9,297873,323662,1.65552e+06
4600,26361.5,297302,323662,1.67035e+06
4700,26945.1,296718,323663,1.6855e+06
4800,27541.9,296121,323663,1.70101e+06
4900,28152,295511,323663,1.71684e+06
5000,28775.3,294888,323664,1.73302e+06
5100,29411.6,294252,323664,1.74953e+06
5200,30060.6,293603,323664,1.76636e+06
5300,30722.3,292942,323663,1.78352e+06
5400,31396.9,292267,323664,1.80101e+06
5500,32084.3,291580,323665,1.81882e+06
5600,32783.9,290880,323664,1.83695e+06
5700,33495.9,290168,323663,1.85538e+06
5800,34220.1,289443,323664,1.87414e+06
5900,34956.9,288707,323665,1.89321e+06
6000,35705.7,287959,323664,1.91258e+06
6100,36466,287199,323664,1.93224e+06
6200,37237.5,286427,323664,1.95219e+06
6300,38020.7,285644,323665,1.97244e+06
6400,38814.7,284850,323665,1.99296e+06
6500,39619.6,284045,323664,2.01375e+06
6600,40435.4,283229,323664,2.03482e+06
6700,41261.7,282403,323665,2.05615e+06
6800,42097.7,281567,323665,2.07773e+06
6900,42943.1,280722,323665,2.09955e+06
7000,43797.9,279866,323664,2.1216e+06
7100,44661.7,279002,323664,2.14388e+06
7200,45534.5,278130,323664,2.16638e+06
7300,46415.6,277249,323665,2.18909e+06
7400,47303.9,276361,323665,2.21199e+06
7500,48199.6,275465,323664,2.23507e+06
7600,49102.9,274562,323664,2.25833e+06
7700,50012.4,273652,323665,2.28176e+06
7800,50928.2,272737,323665,2.30534e+06
7900,51849.4,271816,323665,2.32906e+06
8000,52774.9,270890,323665,2.35288e+06
8100,53705.6,269959,323664,2.37682e+06
8200,54639.7,269025,323665,2.40086e+06
8300,55577.5,268087,323665,2.42499e+06
8400,56518.2,267147,323665,2.44918e+06
8500,57460.8,266204,323664,2.47341e+06
8600,58405.5,265259,323664,2.49771e+06
8700,59351.2,264314,323666,2.52202e+06
8800,60297.4,263368,323665,2.54634e+06
8900,61243.3,262422,323666,2.57066e+06
9000,62187.9,261477,323665,2.59493e+06
9100,63131.7,260534,323666,2.61918e+06
9200,64072.3,259593,323665,2.64335e+06
9300,65010.2,258655,323665,2.66745e+06
9400,65945.2,257720,323666,2.69147e+06
9500,66875.4,256789,323664,2.71537e+06
9600,67800.7,255864,323665,2.73914e+06
9700,68720.6,254944,323665,2.76277e+06
9800,69634.1,254030,323664,2.78624e+06
9900,70541.9,253123,323664,2.80956e+06
10000,71441.1,252224,323665,2.83265e+06
10100,72332.8,251333,323666,2.85557e+06
10200,73215.8,250450,323666,2.87825e+06
10300,74088.1,249578,323666,2.90066e+06
10400,74950.2,248715,323666,2.92281e+06
10500,75801.6,247864,323665,2.94469e+06
10600,76641.4,247024,323665,2.96627e+06
10700,77469.1,246196,323665,2.98756e+06
10800,78284.2,245381,323666,3.0085e+06
10900,79085.5,244580,323666,3.02911e+06
11000,79872.4,243793,323665,3.04934e+06
11100,80645.6,243019,323665,3.06924e+06
11200,81403,242262,323665,3.08873e+06
11300,82145.2,241520,323665,3.10783e+06
11400,82871.2,240794,323665,3.12652e+06
11500,83579.8,240085,323665,3.14476e+06
11600,84271.9,239393,323665,3.16259e+06
11700,84945.7,238719,323665,3.17996e+06
11800,85601.1,238063,323664,3.19686e+06
11900,86238.2,237426,323664,3.2133e+06
12000,86856.4,236808,323664,3.22925e+06
12100,87455.6,236209,323664,3.24472e+06
12200,88035.7,235630,323665,3.25971e+06
12300,88594.3,235070,323665,3.27414e+06
12400,89132.8,234532,323664,3.28809e+06
12500,89651,234014,323665,3.30151e+06
12600,90147,233518,323664,3.31437e+06
12700,90622.7,233042,323664,3.32671e+06
12800,91076.1,232588,323664,3.33849e+06
12900,91508.6,232155,323665,3.34973e+06
13000,91918.5,231745,323664,3.3604e+06
13100,92306.1,231357,323663,3.37051e+06
13200,92672,230990,323662,3.38008e+06
13300,93015.2,230647,323661,3.38906e+06
13400,93336.2,230325,323661,3.39748e+06
13500,93635.3,230025,323661,3.40533e+06
13600,93912.6,229748,323661,3.41265e+06
13700,94167.1,229493,323661,3.41938e+06
13800,94400.4,229261,323661,3.42558e+06
13900,94610.3,229051,323661,3.43118e+06
14000,94797.9,228863,323661,3.43622e+06
14100,94962.3,228698,323660,3.44067e+06
14200,95106,228554,323660,3.4446e+06
14300,95228.8,228431,323660,3.44799e+06
14400,95329.5,228332,323661,3.45082e+06
14500,95408.2,228252,323661,3.4531e+06
14600,95465.1,228195,323660,3.45481e+06
14700,95501.6,228158,323659,3.45602e+06
14800,95518,228142,323660,3.4567e+06
14900,95513.8,228146,323660,3.45688e+06
15000,95489.7,228171,323660,3.45654e+06
15100,95445.1,228215,323660,3.45568e+06
15200,95381.1,228279,323659,3.45432e+06
15300,95298,228362,323660,3.45249e+06
15400,95197.2,228463,323661,3.4502e+06
15500,95077.7,228583,323661,3.44744e+06
15600,94939.7,228720,323660,3.4442e+06
15700,94785,228876,323661,3.44054e+06
15800,94612.6,229047,323660,3.43642e+06
15900,94424.7,229236,323661,3.43192e+06
16000,94220.7,229440,323661,3.427e+06
16100,94000.9,229661,323661,3.42167e+06
16200,93765.3,229895,323661,3.41594e+06
16300,93515.1,230145,323660,3.40984e+06
16400,93252.1,230409,323661,3.4034e+06
16500,92975.6,230686,323661,3.39664e+06
16600,92684.3,230976,323660,3.38948e+06
16700,92381.1,231279,323660,3.38201e+06
16800,92066,231593,323659,3.37426e+06
16900,91740.8,231919,323660,3.36623e+06
17000,91405.5,232255,323660,3.35793e+06
17100,91059,232602,323660,3.34936e+06
17200,90703.1,232958,323660,3.34054e+06
17300,90337.6,233323,323661,3.33148e+06
17400,89963.1,233697,323660,3.32217e+06
17500,89580.4,234079,323659,3.31265e+06
17600,89190.6,234468,323659,3.30295e+06
17700,88794.7,234865,323660,3.29309e+06
17800,88391.8,235267,323659,3.28305e+06
17900,87982.5,235676,323658,3.27284e+06
18000,87568.3,236090,323658,3.2625e+06
18100,87150.4,236508,323659,3.25206e+06
18200,86727.8,236931,323658,3.24149e+06
18300,86301,237358,323658,3.23081e+06
18400,85871.3,237787,323658,3.22005e+06
18500,85438.9,238220,323659,3.20923e+06
18600,85003.9,238655,323658,3.19831e+06
18700,84566.6,239091,323658,3.18735e+06
18800,84128.7,239529,323658,3.17636e+06
18900,83689.9,239968,323657,3.16533e+06
19000,83251.6,240406,323659,3.15433e+06
19100,82813.5,240846,323659,3.14332e+06
19200,82375,241284,323659,3.13228e+06
19300,81936.9,241722,323658,3.12125e+06
19400,81500.3,242158,323658,3.11026e+06
19500,81065.9,242593,323659,3.09931e+06
19600,80633.4,243025,323658,3.0884e+06
19700,80203.4,243455,323659,3.07756e+06
19800,79776.6,243882,323659,3.06679e+06
19900,79353,244306,323659,3.05609e+06
20000,78932.9,244726,323659,3.04547e+06
20100,78516.6,245143,323660,3.03494e+06
20200,78103.7,245555,323659,3.0245e+06
20300,77695.6,245963,323659,3.01416e+06
20400,77292.4,246366,323659,3.00396e+06
20500,76894.2,246764,323658,2.99386e+06
20600,76501.5,247157,323658,2.9839e+06
20700,76114.8,247544,323658,2.97409e+06
20800,75733.8,247925,323659,2.96441e+06
20900,75358.4,248300,323659,2.95488e+06
21000,74989.2,248669,323659,2.94548e+06
21100,74626.7,249031,323658,2.93626e+06
21200,74270.9,249387,323658,2.92721e+06
21300,73922.5,249736,323659,2.91833e+06
21400,73580.7,250077,323658,2.90961e+06
21500,73246.1,250412,323658,2.90106e+06
21600,72919,250739,323659,2.89271e+06
21700,72599.7,251059,323659,2.88455e+06
21800,72288.3,251371,323660,2.87658e+06
21900,71984.2,251676,323660,2.8688e+06
22000,71687,251973,323659,2.86118e+06
22100,71397.6,252261,323659,2.85375e+06
22200,71116.7,252543,323659,2.84653e+06
22300,70843.5,252815,323659,2.83951e+06
22400,70578.2,253080,323658,2.83268e+06
22500,70320.9,253338,323658,2.82605e+06
22600,70071.4,253587,323658,2.81961e+06
22700,69830.4,253828,323658,2.81339e+06
22800,69597.9,254061,323659,2.80737e+06
22900,69372.7,254286,323659,2.80154e+06
23000,69155.3,254504,323659,2.7959e+06
23100,68945.6,254713,323658,2.79045e+06
23200,68743.9,254915,323659,2.7852e+06
23300,68549.7,255110,323659,2.78014e+06
23400,68362.7,255297,323659,2.77525e+06
23500,68183.5,255476,323660,2.77057e+06
23600,68011.7,255648,323660,2.76606e+06
23700,67846.8,255814,323660,2.76173e+06
23800,67688.6,255971,323660,2.75757e+06
23900,67537.1,256122,323659,2.75357e+06
24000,67393,256267,323660,2.74975e+06
24100,67254.6,256405,323659,2.74609e+06
24200,67123.1,256537,323659,2.74259e+06
24300,66997.8,256662,323659,2.73924e+06
24400,66878.1,256782,323660,2.73605e+06
24500,66764.8,256896,323660,2.733e+06
24600,66656.4,257004,323660,2.73008e+06
24700,66553.3,257106,323660,2.7273e+06
24800,66455.6,257204,323659,2.72465e+06
24900,66363.1,257297,323660,2.72213e+06
25000,66275.7,257384,323659,2.71974e+06
25100,66192.9,257467,323660,2.71747e+06
25200,66114,257546,323660,2.7153e+06
25300,66039.3,257620,323659,2.71322e+06
25400,65968.6,257691,323659,2.71127e+06
25500,65902.8,257757,323659,2.70943e+06
25600,65839.9,257820,323659,2.70766e+06
25700,65780.2,257879,323660,2.70597e+06
25800,65724.4,257935,323660,2.70438e+06
25900,65671.7,257988,323659,2.70288e+06
26000,65622.5,258037,323660,2.70145e+06
26100,65575.3,258084,323659,2.70009e+06
26200,65531.7,258128,323659,2.69881e+06
26300,65491.3,258169,323660,2.69762e+06
26400,65452.4,258208,323660,2.69647e+06
26500,65416.4,258244,323660,2.69539e+06
26600,65382.2,258278,323659,2.69435e+06
26700,65350.4,258309,323660,2.69339e+06
26800,65320.6,258339,323659,2.69247e+06
26900,65293.1,258366,323660,2.69161e+06
27000,65268.3,258392,323660,2.69081e+06
27100,65244.3,258415,323660,2.69005e+06
27200,65222.3,258437,323661,2.68933e+06
27300,65202.2,258458,323660,2.68867e+06
27400,65183.2,258476,323660,2.68803e+06
27500,65166,258494,323660,2.68744e+06
27600,65150.2,258509,323659,2.68688e+06
27700,65136,258523,323659,2.68638e+06
27800,65123.3,258536,323659,2.6859e+06
27900,65111.1,258548,323659,2.68544e+06
28000,65100.9,258558,323659,2.68504e+06
28100,65092.3,258567,323659,2.68467e+06
28200,65084,258574,323659,2.68431e+06
28300,65077.2,258581,323658,2.68399e+06
28400,65071.6,258587,323659,2.6837e+06
28500,65067.4,258592,323659,2.68345e+06
28600,65063.6,258595,323660,2.68322e+06
28700,65060.9,258599,323660,2.683e+06
28800,65058.8,258601,323660,2.68282e+06
28900,65056.7,258602,323660,2.68263e+06
29000,65055.6,258604,323659,2.68246e+06
29100,65055.8,258605,323659,2.68232e+06
29200,65055.4,258604,323660,2.68218e+06
29300,65056.5,258603,323660,2.68208e+06
29400,65058.1,258602,323660,2.68198e+06
29500,65060.1,258600,323660,2.6819e+06
29600,65061.8,258599,323660,2.68182e+06
29700,65063.8,258596,323661,2.68173e+06
29800,65065.9,258595,323660,2.68166e+06
29900,65068.7,258592,323661,2.6816e+06
30000,65070.9,258590,323661,2.68153e+06
30100,65072.7,258588,323661,2.68146e+06
30200,65075.3,258586,323661,2.6814e+06
30300,65077.6,258583,323661,2.68133e+06
30400,65079.7,258582,323662,2.68126e+06
30500,65081.3,258580,323662,2.68118e+06
30600,65082.2,258579,323661,2.68108e+06
30700,65083.1,258579,323661,2.68099e+06
30800,65083.4,258578,323661,2.68087e+06
30900,65082.9,258578,323661,2.68075e+06
31000,65082.3,258579,323661,2.68062e+06
31100,65080.5,258580,323661,2.68046e+06
31200,65078.3,258583,323661,2.68029e+06
31300,65075,258586,323660,2.68009e+06
31400,65071,258589,323661,2.67988e+06
31500,65066.6,258594,323661,2.67967e+06
31600,65061.2,258599,323661,2.67942e+06
31700,65055.4,258606,323661,2.67916e+06
31800,65047.5,258613,323661,2.67886e+06
31900,65038.5,258622,323660,2.67853e+06
32000,65028.9,258631,323659,2.67818e+06
32100,65018.5,258642,323661,2.67782e+06
32200,65006.5,258654,323660,2.67741e+06
32300,64993.8,258666,323660,2.677e+06
32400,64980.1,258681,323661,2.67655e+06
32500,64964.8,258696,323661,2.67607e+06
32600,64948.4,258713,323661,2.67556e+06
32700,64930.8,258731,323661,2.67502e+06
32800,64911,258750,323660,2.67443e+06
32900,64890.6,258770,323661,2.67383e+06
33000,64868.5,258792,323660,2.67317e+06
33100,64845.3,258814,323660,2.67249e+06
33200,64820.9,258839,323660,2.67179e+06
33300,64795.6,258864,323660,2.67108e+06
33400,64769.3,258891,323661,2.67032e+06
33500,64741.9,258920,323661,2.66954e+06
33600,64712.8,258948,323661,2.66873e+06
33700,64682.2,258978,323661,2.66788e+06
33800,64650.8,259010,323661,2.667e+06
33900,64618.4,259043,323661,2.6661e+06
34000,64584.8,259076,323660,2.66518e+06
34100,64549.9,259110,323660,2.66422e+06
34200,64514.1,259145,323660,2.66323e+06
34300,64478.6,259181,323660,2.66227e+06
34400,64441.9,259218,323660,2.66126e+06
34500,64403.9,259256,323660,2.66023e+06
34600,64365.6,259294,323660,2.6592e+06
34700,64327.4,259333,323659,2.65816e+06
34800,64288.4,259371,323660,2.6571e+06
34900,64248.7,259411,323660,2.65603e+06
35000,64209.2,259451,323660,2.65496e+06
35100,64169.8,259491,323661,2.6539e+06
35200,64130,259531,323662,2.65283e+06
35300,64089.4,259572,323662,2.65174e+06
35400,64048.3,259613,323661,2.65063e+06
35500,64007.8,259653,323662,2.64955e+06
35600,63967.3,259694,323661,2.64846e+06
35700,63926.4,259734,323660,2.64736e+06
35800,63885.6,259775,323661,2.64626e+06
35900,63845.2,259815,323660,2.64517e+06
36000,63805.6,259855,323660,2.64412e+06
36100,63766,259894,323661,2.64306e+06
36200,63726.5,259933,323660,2.642e+06
36300,63687.2,259972,323659,2.64094e+06
36400,63648.4,260010,323658,2.6399e+06
36500,63610,260048,323658,2.63887e+06
36600,63572.7,260086,323658,2.63787e+06
36700,63536.3,260123,323658,2.63689e+06
36800,63500.6,260159,323660,2.63593e+06
36900,63465.3,260194,323660,2.63498e+06
37000,63430.2,260229,323660,2.63404e+06
37100,63395.6,260264,323660,2.6331e+06
37200,63361.3,260299,323659,2.63218e+06
37300,63327.8,260332,323660,2.63128e+06
37400,63295.2,260364,323660,2.6304e+06
37500,63263.3,260396,323660,2.62954e+06
37600,63231.9,260428,323660,2.62868e+06
37700,63201.2,260459,323660,2.62786e+06
37800,63170.2,260489,323659,2.62702e+06
37900,63139.9,260519,323659,2.62621e+06
38000,63110.7,260547,323658,2.62541e+06
38100,63082.3,260576,323658,2.62465e+06
38200,63054.7,260603,323658,2.6239e+06
38300,63028.4,260630,323659,2.62319e+06
38400,63002.4,260656,323659,2.62248e+06
38500,62976.5,260682,323659,2.62178e+06
38600,62951.1,260707,323657,2.62109e+06
38700,62927.4,260730,323658,2.62044e+06
38800,62904.9,260754,323659,2.61984e+06
38900,62882.9,260777,323659,2.61924e+06
39000,62861.3,260798,323660,2.61864e+06
39100,62840.5,260820,323660,2.61808e+06
39200,62820.2,260840,323660,2.61753e+06
39300,62800.9,260859,323660,2.61701e+06
39400,62781.9,260878,323659,2.61648e+06
39500,62763.9,260895,323659,2.61599e+06
39600,62746.9,260912,323659,2.61553e+06
39700,62730.9,260928,323659,2.61509e+06
39800,62715.8,260943,323658,2.61467e+06
39900,62702.7,260956,323659,2.61431e+06
40000,62690,260969,323659,2.61395e+06
40100,62678.6,260981,323660,2.61363e+06
40200,62668.2,260992,323659,2.61334e+06
40300,62658.6,261002,323660,2.61306e+06
40400,62649.8,261009,323659,2.61281e+06
40500,62642.7,261016,323660,2.61261e+06
40600,62637,261023,323659,2.61243e+06
40700,62631.7,261027,323659,2.61228e+06
40800,62628,261030,323658,2.61215e+06
40900,62626.9,261032,323659,2.6121e+06
41000,62626.7,261033,323660,2.61207e+06
41100,62627.2,261032,323660,2.61206e+06
41200,62628.9,261030,323659,2.61208e+06
41300,62632,261027,323659,2.61213e+06
41400,62637.2,261021,323659,2.61224e+06
41500,62643.6,261015,323659,2.61238e+06
41600,62651.6,261007,323659,2.61257e+06
41700,62660.8,260998,323659,2.61278e+06
41800,62671.9,260986,323658,2.61304e+06
41900,62685,260974,323659,2.61335e+06
42000,62700.1,260960,323660,2.61371e+06
42100,62715.8,260944,323660,2.6141e+06
42200,62733.8,260927,323660,2.61453e+06
42300,62752.3,260908,323660,2.61498e+06
42400,62772.1,260888,323660,2.61547e+06
42500,62793.3,260866,323660,2.61598e+06
42600,62817,260843,323660,2.61657e+06
42700,62842.5,260817,323660,2.6172e+06
42800,62869.3,260791,323661,2.61787e+06
42900,62897.9,260763,323661,2.61858e+06
43000,62927.8,260733,323662,2.61932e+06
43100,62958.7,260703,323661,2.62008e+06
43200,62990.5,260670,323661,2.62088e+06
43300,63024.3,260636,323660,2.62172e+06
43400,63059,260601,323660,2.62259e+06
43500,63094.7,260564,323659,2.62348e+06
43600,63132.7,260527,323659,2.62443e+06
43700,63172.7,260487,323660,2.62543e+06
43800,63213.7,260446,323660,2.62646e+06
43900,63255.8,260405,323661,2.62751e+06
44000,63299.6,260362,323662,2.62861e+06
44100,63343.7,260318,323661,2.62972e+06
44200,63388.9,260272,323661,2.63085e+06
44300,63435.1,260226,323661,2.63201e+06
44400,63481.9,260179,323660,2.6332e+06
44500,63530.1,260131,323661,2.63441e+06
44600,63579.3,260082,323661,2.63565e+06
44700,63628.7,260032,323660,2.63689e+06
44800,63679.3,259981,323660,2.63817e+06
44900,63731.4,259929,323660,2.63948e+06
45000,63783.8,259877,323660,2.6408e+06
45100,63837.3,259823,323660,2.64215e+06
45200,63891,259769,323660,2.64351e+06
45300,63945.2,259715,323661,2.64488e+06
45400,63999.7,259660,323659,2.64626e+06
45500,64055.7,259604,323660,2.64767e+06
45600,64111.8,259549,323660,2.6491e+06
45700,64168.7,259492,323661,2.65054e+06
45800,64225.7,259435,323661,2.65198e+06
45900,64282.3,259378,323660,2.65342e+06
46000,64339.9,259321,323660,2.65488e+06
46100,64397.7,259262,323660,2.65635e+06
46200,64455.3,259204,323660,2.65781e+06
46300,64513.4,259146,323659,2.65929e+06
46400,64571.7,259087,323659,2.66077e+06
46500,64631.2,259028,323659,2.66228e+06
46600,64690.4,258969,323659,2.66379e+06
46700,64749.2,258910,323659,2.66528e+06
46800,64808,258850,323659,2.66677e+06
46900,64867.7,258790,323658,2.6683e+06
47000,64927.2,258731,323658,2.66981e+06
47100,64988.5,258670,323659,2.67138e+06
47200,65049.2,258611,323660,2.67293e+06
47300,65109.1,258550,323660,2.67445e+06
47400,65170.8,258490,323660,2.67603e+06
47500,65231.9,258429,323661,2.67759e+06
47600,65292.8,258368,323661,2.67914e+06
47700,65354.2,258307,323661,2.68071e+06
47800,65415.2,258246,323661,2.68227e+06
47900,65475.9,258185,323661,2.68382e+06
48000,65536.7,258123,323660,2.68536e+06
48100,65598.2,258061,323660,2.68694e+06
48200,65660.5,257999,323659,2.68853e+06
48300,65722.3,257937,323659,2.69011e+06
48400,65784.8,257874,323659,2.69171e+06
48500,65848,257811,323660,2.69332e+06
48600,65911.3,257748,323659,2.69494e+06
48700,65975,257684,323659,2.69657e+06
48800,66039,257620,323659,2.6982e+06
48900,66103.6,257557,323660,2.69984e+06
49000,66167.4,257492,323660,2.70148e+06
49100,66231.8,257427,323659,2.70312e+06
49200,66297,257362,323659,2.70477e+06
49300,66362.7,257297,323660,2.70646e+06
49400,66429.1,257231,323661,2.70815e+06
49500,66494.9,257166,323660,2.70982e+06
49600,66561.1,257100,323660,2.71151e+06
49700,66627,257033,323661,2.71319e+06
49800,66693.2,256967,323661,2.71488e+06
49900,66759.9,256901,323661,2.71658e+06
50000,66826.1,256834,323660,2.71826e+06
50100,66892.9,256767,323661,2.71997e+06
50200,66959.6,256701,323660,2.72166e+06
50300,67026.5,256635,323661,2.72337e+06
50400,67092.5,256568,323661,2.72504e+06
50500,67158.7,256501,323660,2.72672e+06
50600,67225.4,256435,323660,2.72842e+06
50700,67292.2,256370,323661,2.73012e+06
50800,67358.1,256304,323661,2.7318e+06
50900,67424.1,256238,323663,2.73347e+06
51000,67488.8,256173,323663,2.73511e+06
51100,67552.5,256109,323661,2.73674e+06
51200,67616,256044,323661,2.73834e+06
51300,67679.1,255981,323659,2.73994e+06
51400,67742.1,255918,323660,2.74155e+06
51500,67805.1,255855,323660,2.74314e+06
51600,67866.9,255793,323660,2.74471e+06
51700,67928.5,255733,323661,2.74627e+06
51800,67989.3,255672,323662,2.74782e+06
51900,68048.4,255613,323662,2.74932e+06
52000,68106.4,255555,323662,2.75078e+06
52100,68162.9,255498,323660,2.75221e+06
52200,68218.6,255442,323659,2.75362e+06
52300,68273.1,255387,323660,2.75499e+06
52400,68326.3,255333,323659,2.75634e+06
52500,68378.3,255281,323659,2.75766e+06
52600,68429.2,255230,323659,2.75895e+06
52700,68478.9,255180,323659,2.76021e+06
52800,68526.2,255132,323659,2.7614e+06
52900,68572.9,255086,323659,2.76258e+06
53000,68618,255041,323660,2.76371e+06
53100,68661,254998,323660,2.76481e+06
53200,68702.3,254958,323660,2.76585e+06
53300,68741.3,254918,323660,2.76683e+06
53400,68778.2,254881,323660,2.76777e+06
53500,68812.5,254846,323659,2.76864e+06
53600,68845.5,254814,323659,2.76947e+06
53700,68876.2,254783,323659,2.77024e+06
53800,68904.7,254755,323659,2.77096e+06
53900,68930.8,254729,323660,2.77162e+06
54000,68954,254705,323660,2.77221e+06
54100,68974.8,254685,323660,2.77273e+06
54200,68993.4,254666,323660,2.7732e+06
54300,69008.3,254651,323659,2.77358e+06
54400,69021.5,254638,323659,2.77392e+06
54500,69031.8,254627,323659,2.77418e+06
54600,69039.8,254619,323659,2.77438e+06
54700,69045.6,254614,323660,2.77453e+06
54800,69048.2,254612,323661,2.7746e+06
54900,69046.8,254613,323660,2.77456e+06
55000,69043.2,254617,323660,2.77448e+06
55100,69037.5,254623,323660,2.77434e+06
55200,69028.3,254632,323660,2.77411e+06
55300,69016.5,254644,323660,2.77382e+06
55400,69002.1,254658,323660,2.77346e+06
55500,68985.1,254676,323660,2.77303e+06
55600,68964.9,254696,323660,2.77252e+06
55700,68942,254719,323661,2.77195e+06
55800,68916.7,254745,323661,2.77132e+06
55900,68888.1,254773,323661,2.7706e+06
56000,68857.1,254803,323661,2.76983e+06
56100,68823.2,254837,323660,2.76898e+06
56200,68786.7,254873,323660,2.76806e+06
56300,68748.6,254911,323660,2.7671e+06
56400,68707.8,254952,323660,2.76608e+06
56500,68664.8,254995,323659,2.765e+06
56600,68619.7,255040,323660,2.76387e+06
56700,68572.4,255088,323660,2.76268e+06
56800,68522.3,255138,323660,2.76141e+06
56900,68469.8,255189,323660,2.7601e+06
57000,68415.9,255243,323658,2.75875e+06
57100,68360.8,255298,323659,2.75737e+06
57200,68303.4,255355,323659,2.75592e+06
57300,68244.9,255414,323659,2.75445e+06
57400,68184.9,255474,323659,2.75295e+06
57500,68123.4,255536,323660,2.7514e+06
57600,68060.4,255599,323660,2.74981e+06
57700,67995.8,255664,323660,2.7482e+06
57800,67930.2,255730,323659,2.74654e+06
57900,67863.7,255796,323660,2.74487e+06
58000,67795.8,255864,323659,2.74317e+06
58100,67727,255932,323658,2.74143e+06
58200,67657.2,256001,323658,2.73968e+06
58300,67587.4,256071,323658,2.73792e+06
58400,67517.1,256141,323658,2.73615e+06
58500,67447.1,256212,323659,2.73439e+06
58600,67376.1,256282,323658,2.73261e+06
58700,67305.2,256353,323658,2.73082e+06
58800,67234.2,256424,323658,2.72903e+06
58900,67163.6,256494,323658,2.72725e+06
59000,67093.4,256565,323659,2.72549e+06
59100,67023.5,256635,323659,2.72372e+06
59200,66953.9,256705,323660,2.72197e+06
59300,66884.4,256774,323659,2.72021e+06
59400,66815.7,256842,323658,2.71848e+06
59500,66748.1,256910,323658,2.71677e+06
59600,66682.7,256976,323658,2.71512e+06
59700,66618,257041,323660,2.71349e+06
59800,66553.8,257106,323660,2.71186e+06
59900,66490.8,257168,323660,2.71028e+06
60000,66429.8,257230,323660,2.70873e+06
60100,66371.1,257289,323660,2.70724e+06
60200,66313.6,257347,323661,2.70579e+06
60300,66257.5,257403,323661,2.70436e+06
60400,66202.8,257458,323661,2.70297e+06
60500,66150.6,257510,323660,2.70166e+06
60600,66100.6,257560,323661,2.70037e+06
60700,66051.6,257607,323660,2.69913e+06
60800,66005.5,257653,323659,2.69796e+06
60900,65962,257697,323659,2.69684e+06
61000,65921.1,257738,323659,2.69579e+06
61100,65882.6,257776,323658,2.69481e+06
61200,65846.4,257812,323658,2.69388e+06
61300,65813.2,257845,323658,2.69301e+06
61400,65782.4,257876,323658,2.69222e+06
61500,65755.3,257903,323658,2.69151e+06
61600,65730.4,257928,323659,2.69087e+06
61700,65707.9,257950,323658,2.69027e+06
61800,65687.6,257970,323658,2.68974e+06
61900,65671,257987,323658,2.68929e+06
62000,65658,258000,323658,2.68894e+06
62100,65647,258011,323659,2.68864e+06
62200,65639.1,258020,323659,2.6884e+06
62300,65633.8,258025,323658,2.68824e+06
62400,65630.9,258029,323659,2.68813e+06
62500,65630.8,258029,323659,2.6881e+06
62600,65633.2,258027,323660,2.68813e+06
62700,65638.5,258022,323660,2.68822e+06
62800,65646,258015,323661,2.68838e+06
62900,65655.1,258005,323661,2.68858e+06
63000,65666.4,257994,323660,2.68882e+06
63100,65679.7,257980,323660,2.68912e+06
63200,65695.3,257965,323660,2.68947e+06
63300,65712.4,257948,323660,2.68986e+06
63400,65731.6,257929,323660,2.69031e+06
63500,65752.1,257907,323660,2.69078e+06
63600,65773.8,257886,323659,2.69129e+06
63700,65796.9,257862,323660,2.69183e+06
63800,65822.2,257838,323660,2.69243e+06
63900,65848.1,257812,323660,2.69304e+06
64000,65874.4,257786,323660,2.69367e+06
64100,65901,257758,323659,2.6943e+06
